customer_id,gender,tenure_months,contract_type,payment_method,monthly_charges,internet_service_type,is_paperless_billing,is_churn,is_senior_citizen,has_partner,has_dependents,has_phone_service,has_multiple_lines,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,total_charges,Prediccion_Churn,Probabilidad_Fuga
5196-WPYOW,Male,67,One year,Mailed check,60.05,DSL,false,false,false,true,true,true,false,true,true,false,true,false,false,3994.05,0,27.7
6199-IPCAO,Female,29,Two year,Mailed check,26.1,No,false,false,false,true,true,true,true,false,false,false,false,false,false,692.55,0,20.66
7665-TOALD,Female,1,Month-to-month,Electronic check,69.6,Fiber optic,true,true,false,false,false,true,false,false,false,false,false,false,false,69.6,1,70.99
5640-CAXOA,Female,30,One year,Credit card (automatic),40.35,DSL,true,false,false,false,false,false,false,false,false,false,true,false,true,1187.05,0,37.44
0670-KDOMA,Female,1,Month-to-month,Mailed check,20.25,No,true,false,false,false,false,true,false,false,false,false,false,false,false,20.25,1,55.56
5356-RHIPP,Male,1,Month-to-month,Mailed check,20.2,No,true,true,false,false,false,true,false,false,false,false,false,false,false,20.2,1,55.56
1919-RTPQD,Male,7,Month-to-month,Electronic check,44.75,DSL,false,false,false,true,true,true,false,false,false,false,false,false,false,333.65,1,56.39
4632-XJMEX,Male,53,One year,Credit card (automatic),62.85,DSL,false,false,false,false,true,true,false,true,true,false,true,false,false,3419.5,0,27.7
3452-GWUIN,Female,19,Month-to-month,Electronic check,94.95,Fiber optic,true,false,true,true,false,true,true,false,false,false,false,true,true,1760.25,1,62.64
7777-UNYHB,Female,12,Month-to-month,Credit card (automatic),20.1,No,true,false,false,true,true,true,false,false,false,false,false,false,false,232.4,0,41.25
5214-CHIWJ,Male,27,One year,Mailed check,20.3,No,false,false,false,false,false,true,false,false,false,false,false,false,false,595.05,0,27.28
5049-MUBWG,Male,26,One year,Bank transfer (automatic),75,DSL,false,false,false,false,false,true,false,true,false,false,true,true,true,1908.35,0,37.44
5934-RMPOV,Female,22,Month-to-month,Electronic check,84.75,Fiber optic,true,false,false,false,true,true,true,false,false,false,false,false,true,1816.75,1,62.64
6427-FEFIG,Female,24,Two year,Credit card (automatic),78.6,DSL,false,false,false,true,true,true,true,true,false,true,false,true,true,1846.65,0,21.01
7629-WFGLW,Female,56,One year,Electronic check,95.65,Fiber optic,false,false,true,true,false,true,true,true,true,true,true,false,false,5471.75,0,36.78
